id,name,district,tu,naat_hub,device_type,lat,lon,monthly_capacity,current_cases,presumptive_tests,population,has_uniamp
F068,MUTHIYALPET UPHC,Chennai,Basin Bridge,Basin Briadge UPHC,None,13.112959,80.276111,0,2,67,45000,False
F069,UPHC,Chennai,Basin Bridge,Basin Briadge UPHC,None,13.089617,80.269925,0,0,67,45000,False
F070,Kolathur Uphc,Chennai,Kolathur,GPH Periyar Nagar,Uniamp,13.1149,80.2237,260,8,1436,50522,True
F071,Anjugam Nagar UPHC,Chennai,Kolathur,GPH Periyar Nagar,None,13.100484,80.236573,0,1,67,45000,False
F072,GKM Colony UPHC (Nagammaiyar North),Chennai,Kolathur,GPH Periyar Nagar,None,13.126262,80.23365,0,4,67,45000,False
F073,Makkaram Thottam UHWC,Chennai,Kolathur,GPH Periyar Nagar,None,13.109125,80.210438,0,2,37,25000,False
F074,School Road UHWC,Chennai,Kolathur,GPH Periyar Nagar,None,13.12624,80.237108,0,1,37,25000,False
F075,Veeramamunivar UPHC (mugapair east),Chennai,Padi Manjakuppam,Padi Round Building,Uniamp,13.0987,80.1923,260,18,1325,66000,True
F076,ATHIPET uphc,Chennai,Padi Manjakuppam,Padi Round Building,None,13.08987,80.18298,0,2,67,45000,False
F077,Health and Wellness centre - Athipet,Chennai,Padi Manjakuppam,Padi Round Building,None,13.089376,80.191218,0,0,37,25000,False
F078,MOGAPPAIR UPHC - MOGAPPAIR WEST UPHC,Chennai,Padi Manjakuppam,Padi Round Building,None,13.110275,80.172252,0,1,67,45000,False
F079,PADI MANJAKUPPAM UCHC,Chennai,Padi Manjakuppam,Padi Round Building,None,13.101558,80.184894,0,5,67,45000,False
F080,Chetpet Uphc,Chennai,Aminjikarai,ITM,Uniamp,13.0726,80.2378,260,74,1085,40005,True
F081,Aminjikarai East / AZADNAGAR UPHC,Chennai,Aminjikarai,ITM,None,13.066652,80.260673,0,3,67,45000,False
F082,HEALTH AND WELLNESS CENTER AZAD NAGAR,Chennai,Aminjikarai,ITM,None,13.071394,80.240854,0,1,37,25000,False
F083,Helth and wellness center Purasaivakkam,Chennai,Aminjikarai,ITM,None,13.074879,80.256398,0,1,52,35000,False
F084,Institute of Child Health and Hospital,Chennai,Aminjikarai,ITM,None,13.064735,80.243851,0,2,120,80000,False
F085,Intermediate Reference Laboratory (IRL),Chennai,Aminjikarai,ITM,None,13.088554,80.253996,0,4,52,35000,False
F086,IOG,Chennai,Aminjikarai,ITM,None,13.071843,80.250027,0,3,52,35000,False
F087,KILPAUK UPHC,Chennai,Aminjikarai,ITM,None,13.06233,80.241241,0,0,67,45000,False
F088,mangalapuram Uphc,Chennai,Aminjikarai,ITM,None,13.068843,80.252149,0,0,67,45000,False
F089,Purasawalkam UPHC,Chennai,Aminjikarai,ITM,None,13.065603,80.241107,0,0,67,45000,False
F090,Shenoy Nagar EOC,Chennai,Aminjikarai,ITM,None,13.06083,80.253433,0,1,52,35000,False
F091,Bharathipuram Uphc,Chennai,Mmda,MMDA UPHC,Uniamp,13.0834,80.2112,260,49,900,40350,True
F092,Aminjikarai West / NADUVANKARAI HP,Chennai,Mmda,MMDA UPHC,None,13.074168,80.225563,0,3,52,35000,False
F093,ANNA PERIPHERAL HOSPITAL,Chennai,Mmda,MMDA UPHC,None,13.093089,80.200526,0,9,120,80000,False
F094,HEALTH AND WELLNESS  PANNEER SELVAM NAGAR,Chennai,Mmda,MMDA UPHC,None,13.07444,80.218469,0,1,37,25000,False
F095,Panner Selvam nagar UPHC,Chennai,Mmda,MMDA UPHC,None,13.073727,80.202369,0,4,67,45000,False
F096,Krishnampet Uphc,Chennai,Mylapore,Beemanampet UPHC,Uniamp,13.0456,80.2534,260,34,506,37184,True
F097,Mylapore Health Wellness Centre 124,Chennai,Mylapore,Beemanampet UPHC,None,13.061965,80.247731,0,2,52,35000,False
F098,MYLAPORE UPHC,Chennai,Mylapore,Beemanampet UPHC,None,13.04808,80.254139,0,5,67,45000,False
F099,R.A.puram Health and wellness centre Div-126,Chennai,Mylapore,Beemanampet UPHC,None,13.058125,80.236312,0,1,37,25000,False
F100,R.A.PURAM UPHC,Chennai,Mylapore,Beemanampet UPHC,None,13.036808,80.243532,0,0,67,45000,False
F101,Santhome Health and wellness centre Div 125,Chennai,Mylapore,Beemanampet UPHC,None,13.046607,80.244611,0,1,37,25000,False
F102,SANTHOME UPHC,Chennai,Mylapore,Beemanampet UPHC,None,13.055772,80.250801,0,3,67,45000,False
F103,Virugambakkam Uphc,Chennai,Virugambakkam,Koyembedu UPHC,Uniamp,13.0567,80.1978,260,64,1354,55252,True
F104,DASARATHAPURAM UPHC,Chennai,Virugambakkam,Koyembedu UPHC,None,13.072725,80.180953,0,1,67,45000,False
F105,Health and Wellness Centre 128 virugambakkam,Chennai,Virugambakkam,Koyembedu UPHC,None,13.055279,80.188179,0,2,37,25000,False
F106,K.K. Nagar UPHC,Chennai,Kodambakkam Tu,Kodambakkam UPHC,Uniamp,13.0389,80.2123,260,19,1141,52260,True
F107,Health and Wellness Centre sivalingapuram 136,Chennai,Kodambakkam Tu,Kodambakkam UPHC,None,13.06295,80.21136,0,1,37,25000,False
F108,K K NAGAR/ SALIGRAMMAM UPHC,Chennai,Kodambakkam Tu,Kodambakkam UPHC,None,13.042806,80.217358,0,1,67,45000,False
F109,NESAPAKKAM UPHC,Chennai,Kodambakkam Tu,Kodambakkam UPHC,None,13.049756,80.212256,0,4,67,45000,False
F110,VADAPALANI UCHC,Chennai,Kodambakkam Tu,Kodambakkam UPHC,None,13.044594,80.231598,0,4,67,45000,False
F111,VADAPALANI WEST UPHC,Chennai,Kodambakkam Tu,Kodambakkam UPHC,None,13.050394,80.22974,0,0,67,45000,False
F112,Ragava Colony UPHC ,Chennai,Saidapet West,ESIC Hospital Kk Nagar,Uniamp,13.03851,80.198618,260,106,1365,50460,True
F113,ASHOK NAGAR UPHC,Chennai,Saidapet West,ESIC Hospital Kk Nagar,None,13.051978,80.222181,0,2,67,45000,False
F114,"Health and wellness center 138 Annai Sathya Nagar,",Chennai,Saidapet West,ESIC Hospital Kk Nagar,None,13.05107,80.224891,0,0,37,25000,False
F115,JAFFERKHANPET UPHC,Chennai,Saidapet West,ESIC Hospital Kk Nagar,None,13.047461,80.202089,0,0,67,45000,False
F116,KUMARAN NAGAR UPHC,Chennai,Saidapet West,ESIC Hospital Kk Nagar,None,13.036569,80.203512,0,1,67,45000,False
F117,"Peripheral Hospital, KK Nagar",Chennai,Saidapet West,ESIC Hospital Kk Nagar,None,13.034031,80.198859,0,9,120,80000,False
F118,Ragavan colony UPHC/SAIDAPET WEST UPHC,Chennai,Saidapet West,ESIC Hospital Kk Nagar,None,13.033369,80.226659,0,0,67,45000,False
F119,SAIDAPET UPHC/JONES ROAD,Chennai,Saidapet West,ESIC Hospital Kk Nagar,None,13.029956,80.220622,0,0,67,45000,False
F120,Sakthinagar UPHC,Chennai,Porur,Chinnaporur UPHC,Uniamp,13.0378,80.1712,260,16,1158,87120,True
F121,HWC -DIV 150-KARAMBAKKAM HWC,Chennai,Porur,Chinnaporur UPHC,None,13.03525,80.16789,0,2,37,25000,False
F122,HWC -DIV 153- SAKTHI NAGAR HWC,Chennai,Porur,Chinnaporur UPHC,None,13.05032,80.185063,0,1,37,25000,False
F123,HWC-DIV 154-RAMAPURAM HWC,Chennai,Porur,Chinnaporur UPHC,None,13.038273,80.176752,0,2,37,25000,False
F124,mdu_dist_cnw,Chennai,Porur,Chinnaporur UPHC,None,13.026244,80.164101,0,1,52,35000,False
F125,RAMAPURAM UPHC,Chennai,Porur,Chinnaporur UPHC,None,13.050661,80.172575,0,2,67,45000,False
F126,SAKTHI NAGAR UPHC,Chennai,Porur,Chinnaporur UPHC,None,13.037866,80.177639,0,4,67,45000,False
F127,Appavu Street UPHC,Chennai,Nanganallur,Nanganallur UPHC,Uniamp,12.9812,80.1923,260,91,1314,52062,True
F128,ADAMBAKKAM UPHC,Chennai,Nanganallur,Nanganallur UPHC,None,12.961215,80.184025,0,2,67,45000,False
F129,CONTONMENT HOSPITAL,Chennai,Nanganallur,Nanganallur UPHC,None,12.974586,80.192082,0,6,120,80000,False
F130,HWC-DIV 156-MADHANANDHAPURAM,Chennai,Nanganallur,Nanganallur UPHC,None,12.964223,80.195323,0,2,37,25000,False
F131,HWC-DIV 157-MANAPAKKAM,Chennai,Nanganallur,Nanganallur UPHC,None,12.961903,80.172075,0,2,37,25000,False
F132,HWC-DIV 158-NANDAMBAKKAM,Chennai,Nanganallur,Nanganallur UPHC,None,12.977351,80.186756,0,1,37,25000,False
F133,HWC-DIV 162-ALANDUR,Chennai,Nanganallur,Nanganallur UPHC,None,12.966556,80.170097,0,1,37,25000,False
F134,MILITARY HOSPITAL CHENNAI,Chennai,Nanganallur,Nanganallur UPHC,None,12.986209,80.173886,0,8,120,80000,False
F135,MUGALIVAKKAM UPHC,Chennai,Nanganallur,Nanganallur UPHC,None,12.977336,80.185081,0,3,67,45000,False
F136,PALAVANTHANGAL UPHC,Chennai,Nanganallur,Nanganallur UPHC,None,12.972077,80.18401,0,0,67,45000,False
F137,Sasthri Nagar UPHC,Chennai,Velachery,Adambakkam UPHC,Uniamp,12.9934,80.2134,260,56,1740,57745,True
F138,Taramani UPHC ,Chennai,Velachery,Adambakkam UPHC,Uniamp,12.991883,80.224941,260,1,1762,54051,True
F139,HWC-DIV 177-Orandiamman kovil street,Chennai,Velachery,Adambakkam UPHC,None,12.982328,80.218386,0,0,37,25000,False
F140,HWC-DIV 178-Bharathi street- Taramani,Chennai,Velachery,Adambakkam UPHC,None,12.983361,80.208774,0,2,37,25000,False
F141,HWC-DIV-176-Krishnaraja  4th street,Chennai,Velachery,Adambakkam UPHC,None,12.996351,80.2059,0,2,37,25000,False
F142,mdu_dist_cns,Chennai,Velachery,Adambakkam UPHC,None,12.985685,80.219456,0,0,52,35000,False
F143,Old Siddha Clinic/MADUVANKARAI UPHC,Chennai,Velachery,Adambakkam UPHC,None,12.978376,80.210649,0,1,67,45000,False
F144,SASTRI NAGAR UPHC,Chennai,Velachery,Adambakkam UPHC,None,13.006154,80.226783,0,0,67,45000,False
F145,SEVA NAGAR UPHC (VELACHERY UPHC),Chennai,Velachery,Adambakkam UPHC,None,12.978398,80.203295,0,0,67,45000,False
F146,Sri Ramakrishna Vivekananda/THARAMANI UPHC,Chennai,Velachery,Adambakkam UPHC,None,12.984156,80.224898,0,2,67,45000,False
F147,Puzhithivakkam UPHC,Chennai,Puzhithivakkam,Jaladiyanpettai UPHC,Uniamp,12.9245,80.1978,260,27,1512,65214,True
F148,Neelangkarai UPHC,Chennai,Kannagi Nagar,Palavakkam UPHC,Uniamp,12.9523,80.2423,260,62,1773,70248,True
F149,HWC-195- EZHIL NAGAR,Chennai,Kannagi Nagar,Palavakkam UPHC,None,12.972326,80.267878,0,1,37,25000,False
F150,INJAMBAKKAM UCHC,Chennai,Kannagi Nagar,Palavakkam UPHC,None,12.956986,80.246232,0,3,67,45000,False
F151,Kabaleeswarar Nagar(Neelangarai),Chennai,Kannagi Nagar,Palavakkam UPHC,None,12.970912,80.262606,0,1,52,35000,False
F152,KANNGI NAGAR UPHC,Chennai,Kannagi Nagar,Palavakkam UPHC,None,12.96425,80.271117,0,0,67,45000,False
F153,Thoraipakkam,Chennai,Kannagi Nagar,Palavakkam UPHC,None,12.965519,80.241735,0,0,52,35000,False
